uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT000027,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000028,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000029,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002A,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002B,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002C,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002D,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002E,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00002F,W,2008-01-28,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000030,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000031,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000032,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000033,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000034,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000035,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000036,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000037,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000038,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000039,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003A,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003B,W,2008-02-04,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003C,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003D,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003E,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00003F,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000040,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000041,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000042,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000043,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000044,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000045,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000046,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000047,W,2008-02-11,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000048,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000049,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00004A,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00004B,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00004C,W,2008-02-18,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
