uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT004242,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT004243,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004244,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004245,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004246,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004247,W,2020-03-09,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004248,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004249,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT00424A,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT00424B,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00424C,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT00424D,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00424E,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00424F,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004250,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004251,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004252,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004253,W,2020-03-16,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004254,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004255,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004256,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004257,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004258,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004259,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00425A,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00425B,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT00425C,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT00425D,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT00425E,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT00425F,W,2020-03-23,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004260,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004261,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004262,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004263,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004264,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004265,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT004266,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,1
DPSRT004267,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004268,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004269,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT00426A,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT00426B,W,2020-03-30,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT00426C,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,1
DPSRT00426D,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT00426E,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT00426F,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004270,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004271,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT004272,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT004273,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004274,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004275,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004276,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004277,W,2020-04-06,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004278,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004279,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT00427A,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT00427B,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00427C,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT00427D,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00427E,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00427F,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004280,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004281,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004282,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004283,W,2020-04-13,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004284,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004285,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004286,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004287,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004288,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004289,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00428A,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00428B,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT00428C,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,1
DPSRT00428D,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT00428E,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT00428F,W,2020-04-20,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004290,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004291,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004292,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004293,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004294,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004295,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT004296,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT004297,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004298,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004299,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT00429A,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT00429B,W,2020-04-27,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT00429C,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT00429D,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT00429E,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT00429F,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042A0,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042A1,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042A2,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042A3,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT0042A4,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042A5,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042A6,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042A7,W,2020-05-04,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042A8,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042A9,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042AA,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042AB,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042AC,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042AD,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042AE,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042AF,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,1
DPSRT0042B0,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042B1,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042B2,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042B3,W,2020-05-11,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042B4,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042B5,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042B6,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042B7,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042B8,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042B9,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042BA,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042BB,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT0042BC,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042BD,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042BE,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042BF,W,2020-05-18,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042C0,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042C1,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042C2,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042C3,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042C4,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042C5,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042C6,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042C7,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT0042C8,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,1
DPSRT0042C9,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042CA,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042CB,W,2020-05-25,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042CC,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,1
DPSRT0042CD,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042CE,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042CF,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0042D0,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042D1,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042D2,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042D3,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT0042D4,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042D5,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042D6,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042D7,W,2020-06-01,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042D8,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042D9,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042DA,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042DB,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042DC,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042DD,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042DE,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042DF,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT0042E0,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042E1,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042E2,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042E3,W,2020-06-08,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042E4,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042E5,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042E6,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042E7,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042E8,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042E9,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042EA,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042EB,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,1
DPSRT0042EC,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042ED,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042EE,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042EF,W,2020-06-15,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042F0,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042F1,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042F2,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042F3,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0042F4,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT0042F5,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT0042F6,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT0042F7,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,1
DPSRT0042F8,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT0042F9,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT0042FA,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT0042FB,W,2020-06-22,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT0042FC,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT0042FD,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT0042FE,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT0042FF,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004300,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004301,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT004302,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT004303,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,1
DPSRT004304,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004305,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004306,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004307,W,2020-06-29,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004308,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004309,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT00430A,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT00430B,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00430C,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT00430D,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00430E,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00430F,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,1
DPSRT004310,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004311,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT004312,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT004313,W,2020-07-06,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004314,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004315,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004316,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004317,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004318,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004319,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT00431A,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT00431B,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT00431C,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT00431D,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
DPSRT00431E,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH137603000,B15,HEPATITIS A,0
DPSRT00431F,W,2020-07-13,PIDSR-DOH,City-weekly_2008-2022,PH137503000,B15,HEPATITIS A,0
DPSRT004320,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH015518000,B15,HEPATITIS A,0
DPSRT004321,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH034919000,B15,HEPATITIS A,0
DPSRT004322,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH050506000,B15,HEPATITIS A,0
DPSRT004323,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT004324,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH072230000,B15,HEPATITIS A,0
DPSRT004325,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH083747000,B15,HEPATITIS A,0
DPSRT004326,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH097332000,B15,HEPATITIS A,0
DPSRT004327,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH104305000,B15,HEPATITIS A,0
DPSRT004328,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH112402000,B15,HEPATITIS A,0
DPSRT004329,W,2020-07-20,PIDSR-DOH,City-weekly_2008-2022,PH137401000,B15,HEPATITIS A,0
